date,open,high,low,close,change_percent
1935-01-11,9.25,9.25,9.25,9.25,-2.01
1935-10-16,11.72,11.72,11.72,11.72,-2.01
1936-04-14,15.11,15.11,15.11,15.11,-2.01
1941-01-29,10.22,10.22,10.22,10.22,-2.01
1957-08-19,44.91,44.91,44.91,44.91,-2.01
1969-07-28,90.21,91.91,89.83,90.21,-2.01
1978-10-31,93.15,95.8,92.72,93.15,-2.01
1987-04-22,293.05,293.46,286.98,287.19,-2.01
2000-11-30,1341.91,1341.91,1294.9,1314.95,-2.01
2009-04-14,856.88,856.88,840.25,841.5,-2.01
2022-06-28,3913.0,3945.8601,3820.1399,3821.55,-2.01
1937-11-18,11.16,11.16,11.16,11.16,-2.02
1945-06-28,15.04,15.04,15.04,15.04,-2.02
1974-09-24,68.02,69.03,67.42,68.02,-2.02
1980-01-02,105.76,108.43,105.29,105.76,-2.02
1981-01-20,131.65,135.3,131.26,131.65,-2.02
1990-08-21,328.51,328.51,318.78,321.86,-2.02
1932-06-13,4.82,4.82,4.82,4.82,-2.03
1934-12-11,9.17,9.17,9.17,9.17,-2.03
1935-09-19,11.58,11.58,11.58,11.58,-2.03
1940-05-28,9.19,9.19,9.19,9.19,-2.03
2009-03-27,828.68,828.68,813.43,815.94,-2.03
2011-07-27,1331.91,1331.91,1303.49,1304.89,-2.03
1930-12-26,14.85,14.85,14.85,14.85,-2.04
1931-04-29,14.37,14.37,14.37,14.37,-2.04
1933-05-22,8.64,8.64,8.64,8.64,-2.04
1939-06-28,11.06,11.06,11.06,11.06,-2.04
1939-08-10,11.54,11.54,11.54,11.54,-2.04
